venue	year	award	title	paper_id	source_url
NDSS	2025	Distinguished Paper Award	PropertyGPT: LLM-driven Formal Verification of Smart Contracts through Retrieval-Augmented Property Generation	183497	https://www.ndss-symposium.org/ndss-paper/propertygpt-llm-driven-formal-verification-of-smart-contracts-through-retrieval-augmented-property-generation/
NDSS	2025	Distinguished Paper Award	DiStefano: Decentralized Infrastructure for Sharing Trusted Encrypted Facts and Nothing More	183512	https://www.ndss-symposium.org/ndss-paper/distefano-decentralized-infrastructure-for-sharing-trusted-encrypted-facts-and-nothing-more/
NDSS	2025	Distinguished Paper Award	ReDAN: An Empirical Study on Remote DoS Attacks against NAT Networks	183533	https://www.ndss-symposium.org/ndss-paper/redan-an-empirical-study-on-remote-dos-attacks-against-nat-networks/
NDSS	2025	Distinguished Paper Award	VoiceRadar: Voice Deepfake Detection using Micro-Frequency and Compositional Analysis	183562	https://www.ndss-symposium.org/ndss-paper/voiceradar-voice-deepfake-detection-using-micro-frequency-and-compositional-analysis/
NDSS	2026	Best Paper Award	Peering Inside the Black-Box: Long-Range and Scalable Model Architecture Snooping via GPU Electromagnetic Side-Channel	110689	https://www.ndss-symposium.org/ndss-paper/peering-inside-the-black-box-long-range-and-scalable-model-architecture-snooping-via-gpu-electromagnetic-side-channel/
NDSS	2026	Best Paper Award	One Email, Many Faces: A Deep Dive into Identity Confusion in Email Aliases	110680	https://www.ndss-symposium.org/ndss-paper/one-email-many-faces-a-deep-dive-into-identity-confusion-in-email-aliases/
NDSS	2026	Best Paper Award	LOKI: Proactively Discovering Online Scam Websites by Mining Toxic Search Queries	110620	https://www.ndss-symposium.org/ndss-paper/loki-proactively-discovering-online-scams-by-mining-toxic-search-queries/
NDSS	2026	Best Paper Award	OCCUPY+PROBE: Cross-Privilege Branch Target Buffer Side-Channel Attacks at Instruction Granularity	110628	https://www.ndss-symposium.org/ndss-paper/occupyprobe-cross-privilege-branch-target-buffer-side-channel-attacks-at-instruction-granularity/
NDSS	2026	Best Paper Award	Fuzzilicon: A Post-Silicon Microcode-Guided x86 CPU Fuzzer	110562	https://www.ndss-symposium.org/ndss-paper/fuzzilicon-a-post-silicon-microcode-guided-x86-cpu-fuzzer/
NDSS	2026	Best Paper Award	Should I Trust You? Rethinking the Principle of Zone-Based Isolation DNS Bailiwick Checking	110684	https://www.ndss-symposium.org/ndss-paper/should-i-trust-you-rethinking-the-principle-of-zone-based-isolation-dns-bailiwick-checking/
NDSS	2026	Best Paper Award	Decompiling the Synergy: An Empirical Study of Human–LLM Teaming in Software Reverse Engineering	110486	https://www.ndss-symposium.org/ndss-paper/decompiling-the-synergy-an-empirical-study-of-human-llm-teaming-in-software-reverse-engineering/
NDSS	2026	Best Paper Award	Phishing in Wonderland: Evaluating Learning-Based Ethereum Phishing Transaction Detection and Pitfalls	110479	https://www.ndss-symposium.org/ndss-paper/phishing-in-wonderland-evaluating-learning-based-ethereum-phishing-transaction-detection-and-pitfalls/
NDSS	2026	Best Paper Award	Indicator of Benignity: An Industry View of False Positive in Malicious Domain Detection and its Mitigation	110587	https://www.ndss-symposium.org/ndss-paper/indicator-of-benignity-an-industry-view-of-false-positive-in-malicious-domain-detection-and-its-mitigation/
NDSS	2026	Best Paper Award	Small Cell, Big Risk: A Security Assessment of 4G LTE Femtocells in the Wild	110703	https://www.ndss-symposium.org/ndss-paper/small-cell-big-risk-a-security-assessment-of-4g-lte-femtocells-in-the-wild/
USENIX Security	2025	Distinguished Paper Award	Characterizing and Detecting Propaganda-Spreading Accounts on Telegram	301515	https://www.usenix.org/conference/usenixsecurity25/presentation/kireev
USENIX Security	2025	Distinguished Paper Award	My ZIP isn't your ZIP: Identifying and Exploiting Semantic Gaps Between ZIP Parsers	301740	https://www.usenix.org/conference/usenixsecurity25/presentation/you
USENIX Security	2025	Distinguished Paper Award	Catch-22: Uncovering Compromised Hosts using SSH Public Keys	301587	https://www.usenix.org/conference/usenixsecurity25/presentation/munteanu
USENIX Security	2025	Distinguished Paper Award	Branch Privilege Injection: Compromising Spectre v2 Hardware Mitigations by Exploiting Branch Predictor Race Conditions	301631	https://www.usenix.org/conference/usenixsecurity25/presentation/ruegge
USENIX Security	2025	Distinguished Paper Award	Confusing Value with Enumeration: Studying the Use of CVEs in Academia	301639	https://www.usenix.org/conference/usenixsecurity25/presentation/schloegel
USENIX Security	2025	Distinguished Paper Award	We Have a Package for You! A Comprehensive Analysis of Package Hallucinations by Code Generating LLMs	301658	https://www.usenix.org/conference/usenixsecurity25/presentation/spracklen
USENIX Security	2025	Distinguished Paper Award	How Transparent is Usable Privacy and Security Research? A Meta-Study on Current Research Transparency Practices	301516	https://www.usenix.org/conference/usenixsecurity25/presentation/klemmer
USENIX Security	2025	Distinguished Paper Award	Fuzzing the PHP Interpreter via Dataflow Fusion	301499	https://www.usenix.org/conference/usenixsecurity25/presentation/jiang-yuancheng
ACM CCS	2025	Distinguished Paper Award	Split Unlearning	225307	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	SyzSpec: Specification Generation for Linux Kernel Fuzzing via Under-Constrained Symbolic Execution	225170	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	Jazzline: Composable CryptoLine functional correctness proofs for Jasmin programs	225179	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	BACScan: Automatic Black-Box Detection of Broken-Access-Control Vulnerabilities in Web Applications	225346	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	Forking the RANDAO: Manipulating Ethereum's Distributed Randomness Beacon	225379	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	DivTrackee versus DynTracker: Promoting Diversity in Anti-Facial Recognition against Dynamic FR Strategy	225256	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	RingSG: Optimal Secure Vertex-Centric Computation for Collaborative Graph Processing	225540	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	High-Throughput Universally Composable Threshold FHE Decryption	225542	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	Rethinking Tamper-Evident Logging: A High-Performance, Co-Designed Auditing System	225532	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	Empirical Security Analysis of Software-based Fault Isolation through Controlled Fault Injection	225189	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	Leaky Apps: Large-scale Analysis of Secrets Distributed in Android and iOS Apps	225430	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	PAnDA: Rethinking Metric Differential Privacy Optimization at Scale with Anchor-Based Approximation	225352	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	Harnessing Sparsification in Federated Learning: A Secure, Efficient, and Differentially Private Realization	225500	https://www.sigsac.org/ccs/CCS2025/awards/
