venue	year	award	title	url	source_url
NDSS	2025	Distinguished Paper Award	An Empirical Study on Fingerprint API Misuse with Lifecycle Analysis in Real-world Android Apps	https://www.ndss-symposium.org/ndss-paper/an-empirical-study-on-fingerprint-api-misuse-with-lifecycle-analysis-in-real-world-android-apps/	https://www.ndss-symposium.org/ndss-paper/an-empirical-study-on-fingerprint-api-misuse-with-lifecycle-analysis-in-real-world-android-apps/
NDSS	2025	Distinguished Paper Award	SafeSplit: A Novel Defense Against Client-Side Backdoor Attacks in Split Learning	https://www.ndss-symposium.org/ndss-paper/safesplit-a-novel-defense-against-client-side-backdoor-attacks-in-split-learning/	https://www.ndss-symposium.org/ndss-paper/safesplit-a-novel-defense-against-client-side-backdoor-attacks-in-split-learning/
NDSS	2025	Distinguished Paper Award	Provably Unlearnable Data Examples	https://www.ndss-symposium.org/ndss-paper/provably-unlearnable-data-examples/	https://www.ndss-symposium.org/ndss-paper/provably-unlearnable-data-examples/
NDSS	2025	Distinguished Paper Award	DUMPLING: Fine-grained Differential JavaScript Engine Fuzzing	https://www.ndss-symposium.org/ndss-paper/dumpling-fine-grained-differential-javascript-engine-fuzzing/	https://www.ndss-symposium.org/ndss-paper/dumpling-fine-grained-differential-javascript-engine-fuzzing/
NDSS	2025	Distinguished Paper Award	type++: Prohibiting Type Confusion with Inline Type Information	https://www.ndss-symposium.org/ndss-paper/type-prohibiting-type-confusion-with-inline-type-information/	https://www.ndss-symposium.org/ndss-paper/type-prohibiting-type-confusion-with-inline-type-information/
NDSS	2025	Distinguished Paper Award	Rethinking Trust in Forge-Based Git Security	https://www.ndss-symposium.org/ndss-paper/rethinking-trust-in-forge-based-git-security/	https://www.ndss-symposium.org/ndss-paper/rethinking-trust-in-forge-based-git-security/
NDSS	2025	Distinguished Paper Award	Blindfold: Confidential Memory Management by Untrusted Operating System	https://www.ndss-symposium.org/ndss-paper/blindfold-confidential-memory-management-by-untrusted-operating-system/	https://www.ndss-symposium.org/ndss-paper/blindfold-confidential-memory-management-by-untrusted-operating-system/
NDSS	2025	Distinguished Paper Award	PropertyGPT: LLM-driven Formal Verification of Smart Contracts through Retrieval-Augmented Property Generation	https://www.ndss-symposium.org/ndss-paper/propertygpt-llm-driven-formal-verification-of-smart-contracts-through-retrieval-augmented-property-generation/	https://www.ndss-symposium.org/ndss-paper/propertygpt-llm-driven-formal-verification-of-smart-contracts-through-retrieval-augmented-property-generation/
NDSS	2025	Distinguished Paper Award	DiStefano: Decentralized Infrastructure for Sharing Trusted Encrypted Facts and Nothing More	https://www.ndss-symposium.org/ndss-paper/distefano-decentralized-infrastructure-for-sharing-trusted-encrypted-facts-and-nothing-more/	https://www.ndss-symposium.org/ndss-paper/distefano-decentralized-infrastructure-for-sharing-trusted-encrypted-facts-and-nothing-more/
NDSS	2025	Distinguished Paper Award	ReDAN: An Empirical Study on Remote DoS Attacks against NAT Networks	https://www.ndss-symposium.org/ndss-paper/redan-an-empirical-study-on-remote-dos-attacks-against-nat-networks/	https://www.ndss-symposium.org/ndss-paper/redan-an-empirical-study-on-remote-dos-attacks-against-nat-networks/
NDSS	2025	Distinguished Paper Award	VoiceRadar: Voice Deepfake Detection using Micro-Frequency and Compositional Analysis	https://www.ndss-symposium.org/ndss-paper/voiceradar-voice-deepfake-detection-using-micro-frequency-and-compositional-analysis/	https://www.ndss-symposium.org/ndss-paper/voiceradar-voice-deepfake-detection-using-micro-frequency-and-compositional-analysis/
